"","names","fitnesses"
"1","Rank Uniform Bit-Flip",95.7750316946454
"2","Rank Two-Point Bit-Flip",95.7750316946454
"3","Roulette Uniform Bit-Flip",95.7750316946454
"4","Roulette Two-Point Bit-Flip",95.7750316946454
"5","Rank Uniform N-Bit-Flip",95.7750316946454
"6","Rank Two-Point N-Bit-Flip",95.7750316946454
"7","Roulette Uniform N-Bit-Flip",95.7750316946454
"8","Roulette Two-Point N-Bit-Flip",95.7750316946454
"9","Simulated Annealing Bit-Flip",95.7750316946454
"10","Simulated Annealing N-Bit Flip",95.7750316946454
"11","Foolish Hill Climbing Bit-Flip",95.7750316946454
"12","Foolish Hill Climbing N-Bit-Flip",95.7750316946454
